bebop,https://open.spotify.com/playlist/05QgTOTwYD2FipPc7OPimd?si=33ae5620721a40ea
jazz-fusion,https://open.spotify.com/playlist/3pPSz4WKQarK86Q2efWdBL?si=af7fca3fed734893
free-jazz,https://open.spotify.com/playlist/2kKj1pl9TbTh3vsW34R6By?si=83a67c508ba54fbc
cool-jazz,https://open.spotify.com/playlist/2sapyjrk0bxdBxy4lOxiWZ?si=720a73f038de427e
dixieland,https://open.spotify.com/playlist/4ya7CfdwmOTDg3MHPbp9jk?si=c3ef4eab15994182
swing,https://open.spotify.com/playlist/4btHxi4qItzUsz9dXVrAHj?si=6d7dd0e0a55849f3
ragtime,https://open.spotify.com/playlist/5KdhB3hmDTCpJMLBzE1IHE?si=9a88f23b0e304c8c
blues,https://open.spotify.com/playlist/4mPFVJ0eS1jgIzvQcQqBmd?si=3399356986ef4ddb
hard-bop,https://open.spotify.com/playlist/5Rh4uhL3ZP48GUOxvpryai?si=bae69598503c48b4
latin-jazz,https://open.spotify.com/playlist/7BXw9UGmLMyi4uYnw2eOOF?si=bb47a70aafb14bfa
smooth-jazz,https://open.spotify.com/playlist/6rGsGTHGjGPufP2YbnXksR?si=ddaf515c6b384d86
modal-jazz,https://open.spotify.com/playlist/3kAdBvSt9tU1Vt6LpQ9UUc?si=3c68761a7bd24da4
acid-jazz,https://open.spotify.com/playlist/6giaR9WlR5EQi41w2ekn7z?si=836c2909606442a7
avant-garde-jazz,https://open.spotify.com/playlist/4csECJtu2QKWfC8zCwgKZs?si=25fbb2d6d3b44be9
soul-jazz,https://open.spotify.com/playlist/4yrCX5aFrZXGN91c5dwPJ5?si=79ce8fe7f65a4e03
post-jazz,https://open.spotify.com/playlist/1aQCsiTXCGGSzmIVR0wcJt?si=5be2e077bc8a4e61
big-band,https://open.spotify.com/playlist/2LZJAFsmTe1sp3XdIWUngd?si=e9a2aad695ad4267
third-stream,https://open.spotify.com/playlist/3hsGt9JB5vVyxKESbNT1MC?si=7af5da40c6814689
gypsy-jazz,https://open.spotify.com/playlist/2Q5zA37jmf7nsLVNzl1eCz?si=e0c53702062244d4
afro-cuban-jazz,https://open.spotify.com/playlist/4Fn3nXzdtKbXJDwO19SzKL?si=e04da1b64c19418b
stride,https://open.spotify.com/playlist/0kRTKfyMIDyYDNkCzWD2SH?si=3b21c762419e45e1
jazz-funk,https://open.spotify.com/playlist/4Yo9s6d7XQB4JrJWgX5A4l?si=76476d9052d64b95
